IMD_Decile,IMD_Score
9,6.208
10,5.143
5,19.402
3,28.652
5,19.837
3,31.576
2,37.596
3,32.844
3,32.437
3,30.679
2,34.714
2,38.997
2,35.67
2,33.632
3,32.839
2,39.004
2,33.406
2,33.62
2,36.035
2,38.888
2,34.413
2,36.877
3,29.339
2,36.702
2,37.347
2,40.078
4,22.503
2,38.415
4,22.672
3,29.958
2,37.978
2,35.895
4,26.175
5,19.27
5,17.988
5,19.646
4,22.288
2,34.608
3,33.173
2,41.573
3,28.075
3,28.389
2,35.688
3,29.763
1,44.704
2,41.172
2,34.701
2,36.941
2,33.284
2,40.044
3,29.788
3,30.898
2,35.903
3,32.887
3,31.763
3,32.331
2,36.154
1,46.283
3,26.669
2,33.371
2,35.283
2,39.89
4,25.763
5,20.973
4,25.603
6,16.375
5,21.038
5,18.848
2,41.016
2,38.757
2,35.044
2,36.999
2,36.246
2,41.032
2,35.033
2,34.522
3,33.185
3,30.608
3,27.895
2,34.377
2,39.815
2,35.154
2,38.156
2,34.357
3,28.849
3,28.968
3,28.317
2,42.183
2,33.768
1,46.922
3,28.182
3,32.254
2,40.926
2,38.009
2,39.405
3,29.266
3,31.83
2,40.463
2,42.631
3,32.894
2,34.672
1,44.149
2,43.523
3,28.332
3,28.166
4,25.691
5,17.741
3,28.903
4,24.743
4,25.268
4,23.288
9,6.227
9,7.79
8,9.642
8,9.812
7,11.589
10,5.902
2,36.203
8,10.152
8,11.048
4,23.589
3,26.704
2,33.625
3,27.543
3,27.055
3,31.0
3,30.863
5,20.904
4,25.53
3,30.774
4,24.669
7,12.523
8,8.96
3,28.786
3,27.86
7,12.388
6,16.817
3,28.797
6,16.669
3,31.342
5,18.338
6,14.626
5,18.538
7,12.786
3,27.671
6,15.583
2,38.897
3,32.418
2,41.649
3,32.667
5,20.797
9,8.319
7,12.655
5,19.721
6,16.257
7,12.121
6,14.513
5,18.504
3,28.541
4,25.331
7,13.258
6,14.861
3,28.35
9,6.975
7,13.226
5,20.384
4,24.261
9,8.421
8,9.709
6,16.271
9,7.614
3,30.549
9,8.263
9,8.055
9,8.467
6,14.555
9,8.204
9,8.01
8,10.613
3,31.921
4,25.824
10,5.195
7,13.015
9,8.028
4,24.526
8,10.149
9,6.834
6,15.472
6,16.117
5,19.392
3,26.999
7,12.284
7,12.516
7,11.841
9,7.222
8,9.566
9,7.184
9,6.735
6,15.523
8,10.063
9,7.725
8,9.118
9,6.585
9,6.612
9,7.058
9,8.197
6,14.568
8,10.294
9,7.583
8,10.503
7,13.565
8,10.017
8,10.826
6,15.33
